Exchange Code,Exchange Name
#CI,"Abidjan SE, Non-Exchange FI Update"
ABJ,Abidjan Stock Exchange
ABD,Abu Dhabi Stock Exchange
ABC,ADIX Brokers Group
ASG,AGRARIAN STOCK EXCHANGE OF GUATEMALA
AHM,AHMEDABAD STOCK EXCHANGE
AIF,"AIAF S.A., Mercado de Renta Fija"
ALB,Alberta Stock Exchange
ALG,Algiers Stock Exchange
ACC,American Commodity Exchange
AOE,American Options Exchange
AP$,American Petroleum Institute
LCA,American Stock Excahnge for Nasdaq Large Cap
ASE,American Stock Exchange
SCA,American Stock Exchange for Nasdaq Small Cap
ASQ,AMEX Consolidated
AMM,Amman Financial Market
ATA,Amsterdam Agricultural Commodities Exchange
ACE,Amsterdam Commodity Exchange
AFF,Amsterdam Financial Futures Exchange
APX,Amsterdam Power Exchange
AMS,Amsterdam Stock Exchange
ANT,Antwerp Stock Exchange
AR$,ARA Products Barge
ARC,Archipelago L.L.C.
ST$,Asian Saturday Rates
ASU,Asuncion Stock Exchange
ADE,Athens Derivatives Exchange
ATH,Athens Stock Exchange
#AU,"Australia, Non-Exchange FI Update"
ADX,Australian Derivatives Exchange (AUDX)
EAX,Australian Energy Data
AU$,Australian Money Rates
ASX,Australian Stock Exchange Ltd
#AT,"Austria, Non-Exchange FI Update"
OTB,Austrian Futures and Options Exchange (OTOB)
APE,Automated Power Exchange
AVK,AVK Closing Joint Stock Co
BIX,Bahamas International Securities Exchange
BIF,Baltic International Freight Futures Exchange (BIFFEX)
BAL,Baltimore Stock Exchange
BKK,Bangkok Stock Exchange
TOT,Bangok Stock Dealing Centre
BNL,Banja Luka Exchange
BNC,Bank Negara Malaysia
BKG,Bank Of Greece
BSL,Basel Stock Exchange
BJC,Beijing Commodities Exchange
BPX,Beijing Petroleum Exchange
BES,Beirut Secondary Market
BDB,Beirut Stock Exchange
BLE,Belarus Intercurrency and Stock Exchange
BCS,Belarusian Currency and Stock Exchange
BFX,Belgian Futures and Options Exchange (BELFOX)
#BE,"Belgium, Non-Exchange FI Update"
BEL,Belgrade Stock Exchange
BER,Berlin Stock Exchange
BRN,Berne Stock Exchange
BIL,Bilbao Stock Exchange
CSO,"Board of Trade of the City of New York, Inc. (Coffee, Sugar, Cocoa Options)"
CSC,"Board of Trade of the City of New York, Inc. (Coffee,Sugar and Cocoa)"
NYC,"Board of Trade of the City of New York, Inc. (NYCE - Cotton)"
NYF,"Board of Trade of the City of New York, Inc. (NYFE - Futures)"
CEO,"Board of Trade of the City of New York, Inc. CEC (Options)"
BOG,Bogota Stock Exchange
LPA,Bolivian Stock Exchange
BSE,Bombay Stock Exchange
BZA,Bond Exchange of South Africa
BOR,Bordeaux Stock Exchange
BOX,Boston Options Exchange
LCB,Boston Stock Exchange for Nasdaq Large Cap
SCB,Boston Stock Exchange for Nasdaq Small Cap
BOS,Boston Stock Exchange Inc
BSM,Botswana Stock Exchange
BOB,Bratislava Options Exchange
BRA,Bratislava Stock Exchange
BBF,Brazilian Commodities and Futures Exchange
BRE,Bremen Stock Exchange
BOE,Brussels Stock Exchange Options
BCE,Budapest Commodity Exchange
BUD,Budapest Stock Exchange
BUE,Buenos Aires Stock Exchange
BLG,Bulgarian Stock Exchange - Sofia
CAI,Cairo Stock Exchange
CLI,CALI Stock Exchange
#CA,"Canada, Non-Exchange FI Update"
CDN,Canadian Dealing Network
CMF,Canadian Mutual Fund Exchange
CG$,Canadian Natural Gas
CNQ,Canadian Trading and Quotation System Inc
CDG,CanDeal
CPX,CanPX
CFF,Cantor Financial Futures Exchange
CCS,Caracas Stock Exchange
CAS,Casablanca Stock Exchange
CC3,Cash Commodity Rates Americas
CC2,Cash Commodity Rates Asia
CC1,Cash Commodity Rates EMEA
CBF,"CBOE Futures Exchange, LLC"
CAE,Central Asian Stock Exchange
JK$,Central Bank of Indonesia
CRU,Central Russian Universal Exchange
CUF,Chengdu United Futures Exchange
CBT,Chicago Board of Trade
CBO,Chicago Board Options Exchange
WCB,Chicago Board Options Exchange
LCW,Chicago Board Options Exchange for Nasdaq Large Cap Equity
SCW,Chicago Board Options Exchange for Nasdaq Small Cap Equity
CME,Chicago Mercantile Exchange
CRC,Chicago Rice and Cotton Exchange
SCM,Chicago Stock Exchange for Nasdaq Small Cap
BEC,Chile Electronic Exchange
CFE,China Commod & Fut Exch Inc of Hainan
CN$,China Money Rates
ZHC,China Zhengzhou Commodity Exchange
#CN,"China, Non-Exchange FI Update"
CHT,Chittagong Stock Exchange Ltd
CQC,Chongqing Commodity Exchange
CCX,Chubu Commodity Exchange
CHU,Chur Stock Exchange
LCC,Cincinnati Stock Exchange for Nasdaq Large Cap
SCC,Cincinnati Stock Exchange for Nasdaq Small Cap
GEM,CME Growth and emerging markets
IOM,CME:Index and Options Market
IMM,CME:International Monetary Market
COL,Colombia Stock Exchange
CSE,Colombo Stock Exchange
CMX,Commodities Exchange Centre (CEC)
CMM,Commodity and Monetary Exchange of Malaysia (COMMEX Malaysia)
CNN,Companies Tracked By Editorial
CEQ,Consolidated European Quotes
BSQ,Consolidated Issues listed by Boston SE
WCQ,Consolidated Issues listed by CBOE
MWQ,CONSOLIDATED ISSUES LISTED BY MIDWEST SE
PSQ,Consolidated Issues Listed By Pacific SE
PHQ,Consolidated Issues listed by Philadelphia SE
CUQ,Consolidated UK Quotes
CPH,Copenhagen Stock Exchange
COR,Cordoba Stock Exchange
CRE,Costa Rica Electronic Stock Exchange
CRN,Costa Rica National Stock Exchange
FMF,Cote Bleu
CU$,Currency Data Base
DLC,Dalian Commodity Exchange
DSS,Dar es Salaam Stock Exchange
#DK,"Denmark, Non-Exchange FI Update"
DSE,Dhaka Stock Exchange Ltd
DSM,Doha Securities Market
DJI,Dow Jones Global Indices
DTB,DTB
DXB,Dubai Financial Market
DUB,Dublin Stock Exchange
#IE,"Dublin, Non-Exchange FI Updates"
DUN,Dunedin Regional Stock Exchange
DUS,Dusseldorf Stock Exchange
EAS,EASDAQ SA
ELS,El Salvador Stock Exchange
ECM,Emerging Company Marketplace
